Mass,Relative%,Description
222.098681,0.05%,"decarboxylation C-N coupling product of pyruvic acid and galactosamine(add H+); decarboxylation C-N coupling product of pyruvic acid and glucosamine(add H+), with the error of 0.0017. reductive amination product of adenine and alpha-ketobutyric acid(add H+), with the error of 0.0003.decarboxylation C-N coupling product of hydroxyproline and 4-aminobenzoic acid(self); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and hydroxyproline(self), with the error of 0.0013.adduct of tryptophan with OH radical(add H+), with the error of 0.0023.decarboxylation C-N coupling product of itaconic acid and threonine(add H3O+); decarboxylation C-N coupling product of oxaloacetic acid and valine(add H3O+); decarboxylation coupling (RCOOR') product of oxaloacetic acid and valine(add H3O+); decarboxylation coupling (RCOOR') product of itaconic acid and threonine(add H3O+); decarboxylation coupling (RCOOR') product of malic acid and proline(add H3O+), with the error of 0.0033.decarboxylation coupling (RCOOR') product of methionine and threonine(self); decarboxylation C-N coupling product of methionine and threonine(self); decarboxylation C-N coupling product of threonine and methionine(self), with the error of 0.0043."
221.092522,0.07%,"decarboxylation C-N coupling product of pyruvic acid and glucosamine(self); decarboxylation C-N coupling product of pyruvic acid and galactosamine(self), with the error of 0.0035. reductive amination product of adenine and alpha-ketobutyric acid(self), with the error of 0.0015.adduct of tryptophan with OH radical(self), with the error of 0.0005.decarboxylation coupling (R-R') product of itaconic acid and n-acetyl cysteine(add NH4+), with the error of 0.0035."
192.069315,0.08%,"decarboxylation C-N coupling product of pyruvic acid and methionine(add H+); decarboxylation coupling (R-R') product of oxaloacetic acid and methionine(add H+); decarboxylation coupling (RCOOR') product of pyruvic acid and methionine(add H+), with the error of 0.0003. decarboxylation coupling (R-R') product of histidine and malonic acid(add Na+), with the error of 0.0047."
103.054576,0.20%,"decarboxylation C-N coupling product of pyruvic acid and urea(add H+), with the error of 0.0046. "
121.069281,0.22%,"decarboxylation C-N coupling product of pyruvic acid and urea(add H3O+), with the error of 0.0043. threonine de-NH2 product(add NH4+), with the error of 0.0047."
120.081204,3.30%,"decarboxylation C-N coupling product of pyruvic acid and urea(add NH4+); decarboxylation C-N coupling product of serine and urea(add H+), with the error of 0.0042. valine de-NH2 product(add H3O+), with the error of 0.0018."
102.037509,0.18%,"decarboxylation C-N coupling product of pyruvic acid and urea(self), with the error of 0.0045. "
233.153741,0.02%,"decarboxylation C-N coupling product of serine and arginine(self); decarboxylation C-N coupling product of arginine and serine(self); decarboxylation coupling (RCOOR') product of arginine and serine(self), with the error of 0.0047. decarboxylation coupling (RCOOR') product of itaconic acid and leucine(add NH4+); decarboxylation C-N coupling product of itaconic acid and leucine(add NH4+); reductive amination product of lysine and alpha-ketobutyric acid(add H+), with the error of 0.0027.decarboxylation coupling (R-R') product of threonine and tryptophan(self); decarboxylation coupling (R-R') product of cysteine and n-acetyl cysteine(add K+), with the error of 0.0017."
191.090342,0.28%,"decarboxylation C-N coupling product of serine and asparagine(self); decarboxylation coupling (RCOOR') product of asparagine and serine(self); decarboxylation C-N coupling product of asparagine and serine(self), with the error of 0.0003. adduct of dopamine with CH3 radical(add Na+), with the error of 0.0027.decarboxylation coupling (R-R') product of fumaric acid and phenylalanine(self); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and 4-pentenoic acid(self); decarboxylation C-N coupling product of 4-pentenoic acid and 4-aminobenzoic acid(self), with the error of 0.0037.adduct of histidine with OH radical(add H3O+), with the error of 0.0047."
325.113954,0.01%,"decarboxylation C-N coupling product of serine and cytidine(add Na+); decarboxylation coupling (RCOOR') product of cystine and leucine(self); decarboxylation C-N coupling product of leucine and cystine(self); decarboxylation C-N coupling product of cystine and leucine(self), with the error of 0.001. "
230.153007,0.00%,"decarboxylation C-N coupling product of serine and dopamine(add NH4+), with the error of 0.002. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and 6-hydroxyoctanoic acid(add Na+); decarboxylation coupling (R-R') product of histidine and phenylalanine(self), with the error of 0.001.decarboxylation C-N coupling product of phenylalanine and histamine(self), with the error of 0.0.adduct of ascorbic acid with CH3 radical(add K+), with the error of 0.001."
230.147032,0.03%,"decarboxylation C-N coupling product of serine and dopamine(add NH4+), with the error of 0.004. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and 6-hydroxyoctanoic acid(add Na+); decarboxylation coupling (R-R') product of histidine and phenylalanine(self), with the error of 0.005."
441.121993,0.03%,"decarboxylation C-N coupling product of serine and gmp(add H3O+), with the error of 0.004. decarboxylation C-N coupling product of valine and amp(add Na+), with the error of 0.004."
365.117706,0.00%,"decarboxylation C-N coupling product of serine and guanosine(add Na+), with the error of 0.0013. decarboxylation coupling (RCOOR') product of oxaloacetic acid and cystine(add K+); decarboxylation C-N coupling product of oxaloacetic acid and cystine(add K+), with the error of 0.0043."
233.133182,0.04%,"decarboxylation C-N coupling product of serine and histidine(add H3O+); decarboxylation C-N coupling product of alpha-ketobutyric acid and serotonin(add H+); decarboxylation C-N coupling product of histidine and serine(add H3O+); decarboxylation coupling (RCOOR') product of histidine and serine(add H3O+), with the error of 0.0042. "
209.100885,0.10%,"decarboxylation C-N coupling product of serine and methionine(add H+); decarboxylation C-N coupling product of pyruvic acid and methionine(add NH4+); decarboxylation C-N coupling product of methionine and serine(add H+); decarboxylation coupling (RCOOR') product of methionine and serine(add H+); decarboxylation coupling (R-R') product of oxaloacetic acid and methionine(add NH4+); decarboxylation coupling (RCOOR') product of pyruvic acid and methionine(add NH4+), with the error of 0.0049. decarboxylation coupling (RCOOR') product of cysteine and proline(add H3O+); decarboxylation C-N coupling product of proline and cysteine(add H3O+), with the error of 0.0009.decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and phenylalanine(self); decarboxylation C-N coupling product of 3-hydroxypropionic acid and phenylalanine(self); decarboxylation coupling (R-R') product of malic acid and phenylalanine(self); decarboxylation C-N coupling product of alpha-ketobutyric acid and dopamine(self), with the error of 0.0041."
219.083265,0.08%,"decarboxylation C-N coupling product of serine and o-phosphorylethanolamine(add H3O+), with the error of 0.0043. decarboxylation C-N coupling product of hydroxyproline and cytosine(add Na+), with the error of 0.0017.adduct of phenylalanine with CH3O radical(add Na+); adduct of tyrosine with CH3 radical(add Na+), with the error of 0.0047."
203.072784,0.01%,"decarboxylation C-N coupling product of serine and taurine(add H3O+), with the error of 0.0022. "
343.173228,0.01%,"decarboxylation C-N coupling product of serine and thiamine(add H3O+), with the error of 0.0012. reductive amination product of guanosine and acetone(add NH4+), with the error of 0.0008.decarboxylation coupling (R-R') product of n-acetyl neuraminic acid and serine(add H3O+), with the error of 0.0028."
142.058327,0.00%,"decarboxylation C-N coupling product of serine and urea(add Na+), with the error of 0.0007. decarboxylation coupling (RCOOR') product of pyruvic acid and 4-pentenoic acid(self); decarboxylation coupling (R-R') product of oxaloacetic acid and 4-pentenoic acid(self); adduct of cytosine with CH3O radical(self), with the error of 0.0037.decarboxylation coupling (R-R') product of alpha-ketobutyric acid and itaconic acid(self), with the error of 0.0047."
336.070276,0.02%,"decarboxylation C-N coupling product of threonine and cystine(add Na+); decarboxylation coupling (RCOOR') product of cystine and threonine(add Na+); decarboxylation C-N coupling product of cystine and threonine(add Na+), with the error of 0.0043. "
316.140613,0.03%,"decarboxylation C-N coupling product of threonine and cytidine(self), with the error of 0.0026. decarboxylation C-N coupling product of tyrosine and tyrosine(self); decarboxylation coupling (RCOOR') product of tyrosine and tyrosine(self), with the error of 0.0014."
227.143183,0.07%,"decarboxylation C-N coupling product of threonine and dopamine(add H+), with the error of 0.0042. decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and phenylalanine(add NH4+); decarboxylation coupling (R-R') product of malic acid and phenylalanine(add NH4+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and phenylalanine(add NH4+); decarboxylation C-N coupling product of alpha-ketobutyric acid and dopamine(add NH4+), with the error of 0.0032.decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and valine(add H3O+); decarboxylation C-N coupling product of valine and 4-aminobenzoic acid(add H3O+); decarboxylation C-N coupling product of 4-aminobenzoic acid and valine(add H3O+), with the error of 0.0008.adduct of dopamine with Cl radical(add K+), with the error of 0.0028."
249.124244,0.27%,"decarboxylation C-N coupling product of threonine and dopamine(add Na+), with the error of 0.0032. decarboxylation C-N coupling product of 3-hydroxypropionic acid and tryptophan(add H+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and tryptophan(add H+); reductive amination product of serotonin and pyruvic acid(add H+); decarboxylation coupling (R-R') product of malic acid and tryptophan(add H+), with the error of 0.0002.decarboxylation coupling (RCOOR') product of arginine and cysteine(self); decarboxylation C-N coupling product of arginine and cysteine(self); decarboxylation C-N coupling product of cysteine and arginine(self), with the error of 0.0018.decarboxylation C-N coupling product of n-acetyl cysteine and leucine(add H+); decarboxylation coupling (RCOOR') product of leucine and n-acetyl cysteine(add H+), with the error of 0.0028.decarboxylation coupling (R-R') product of fumaric acid and tryptophan(add H3O+), with the error of 0.0038."
253.141177,0.01%,"decarboxylation C-N coupling product of threonine and galactosamine(add H+); decarboxylation C-N coupling product of threonine and glucosamine(add H+), with the error of 0.0022. decarboxylation C-N coupling product of alpha-ketobutyric acid and glucosamine(add NH4+); decarboxylation C-N coupling product of alpha-ketobutyric acid and galactosamine(add NH4+), with the error of 0.0012.decarboxylation C-N coupling product of glutamine and dopamine(self); decarboxylation coupling (R-R') product of histidine and phenylalanine(add Na+), with the error of 0.0008.decarboxylation C-N coupling product of phenylalanine and histamine(add Na+), with the error of 0.0018.adduct of tryptophan with CH3O radical(add NH4+), with the error of 0.0028.decarboxylation coupling (RCOOR') product of lysine and malic acid(add H3O+); decarboxylation C-N coupling product of malic acid and lysine(add H3O+), with the error of 0.0038.adduct of galactosamine with Cl radical(add K+); decarboxylation coupling (RCOOR') product of itaconic acid and itaconic acid(add K+); adduct of glucosamine with Cl radical(add K+), with the error of 0.0048."
373.343933,0.04%,"decarboxylation C-N coupling product of threonine and sphingosine(add H+), with the error of 0.0019. decarboxylation coupling (RCOOR') product of elaidic acid and threonine(add NH4+); decarboxylation C-N coupling product of 3-hydroxypalmitic acid and lysine(add H+); decarboxylation C-N coupling product of alpha-ketobutyric acid and sphingosine(add NH4+); decarboxylation C-N coupling product of elaidic acid and threonine(add NH4+); decarboxylation coupling (RCOOR') product of lysine and 3-hydroxypalmitic acid(add H+); decarboxylation C-N coupling product of oleic acid and threonine(add NH4+); decarboxylation coupling (RCOOR') product of oleic acid and threonine(add NH4+), with the error of 0.0009."
357.189275,0.05%,"decarboxylation C-N coupling product of threonine and thiamine(add H3O+), with the error of 0.0023. decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and cytidine(self), with the error of 0.0007.decarboxylation coupling (R-R') product of n-acetyl neuraminic acid and threonine(add H3O+), with the error of 0.0017.decarboxylation C-N coupling product of tyrosine and tryptophan(add NH4+); decarboxylation coupling (RCOOR') product of tryptophan and tyrosine(add NH4+); decarboxylation C-N coupling product of tryptophan and tyrosine(add NH4+), with the error of 0.0037."
277.119212,0.13%,"decarboxylation C-N coupling product of threonine and tyrosine(add Na+); decarboxylation coupling (RCOOR') product of threonine and tyrosine(add Na+); decarboxylation C-N coupling product of tyrosine and threonine(add Na+), with the error of 0.0032. decarboxylation C-N coupling product of phenylalanine and adenine(add Na+), with the error of 0.0022.decarboxylation C-N coupling product of alpha-ketoglutaric acid and serotonin(add H+); reductive amination product of tryptophan and pyruvic acid(add H+), with the error of 0.0002.decarboxylation coupling (R-R') product of n-acetyl cysteine and tryptophan(self), with the error of 0.0048."
134.094648,0.01%,"decarboxylation C-N coupling product of threonine and urea(add H+); decarboxylation coupling (R-R') product of glyoxylic acid and asparagine(add NH4+), with the error of 0.0026. decarboxylation C-N coupling product of alpha-ketobutyric acid and urea(add NH4+), with the error of 0.0016.adduct of urea with Cl radical(add K+); leucine de-NH2 product(add H3O+); adduct of 4-pentenoic acid with CH3 radical(add H3O+), with the error of 0.0044."
156.077007,12.98%,"decarboxylation C-N coupling product of threonine and urea(add Na+), with the error of 0.003. histidine(add H+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and cytosine(add H+), with the error of 0.0.decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and 4-pentenoic acid(self); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and 4-pentenoic acid(self), with the error of 0.001."
332.231744,0.22%,"decarboxylation C-N coupling product of tryptophan and adenine(add K+), with the error of 0.0043. "
316.126185,0.33%,"decarboxylation C-N coupling product of tryptophan and adenine(add Na+), with the error of 0.0018. adduct of glucose-6-phosphate with OH radical(add K+), with the error of 0.0048."
355.189163,0.03%,"decarboxylation C-N coupling product of tryptophan and arginine(add Na+); decarboxylation C-N coupling product of arginine and tryptophan(add Na+); decarboxylation coupling (RCOOR') product of arginine and tryptophan(add Na+), with the error of 0.0032. "
350.231626,0.07%,"decarboxylation C-N coupling product of tryptophan and arginine(add NH4+); decarboxylation coupling (RCOOR') product of arginine and tryptophan(add NH4+); decarboxylation C-N coupling product of arginine and tryptophan(add NH4+), with the error of 0.0006. "
424.158458,0.26%,"decarboxylation C-N coupling product of tryptophan and cytidine(add Na+), with the error of 0.0015. "
618.245744,0.04%,"decarboxylation C-N coupling product of tryptophan and folic acid(add H3O+); decarboxylation C-N coupling product of folic acid and tryptophan(add H3O+); decarboxylation coupling (RCOOR') product of folic acid and tryptophan(add H3O+), with the error of 0.0013. "
376.260244,0.05%,"decarboxylation C-N coupling product of tryptophan and galactosamine(add K+); decarboxylation C-N coupling product of tryptophan and glucosamine(add K+), with the error of 0.0008. "
521.140734,0.07%,"decarboxylation C-N coupling product of tryptophan and gmp(self), with the error of 0.0013. "
328.151955,0.01%,"decarboxylation C-N coupling product of tryptophan and guanine(add H3O+), with the error of 0.004. "
441.173523,0.05%,"decarboxylation C-N coupling product of tryptophan and guanosine(self); decarboxylation coupling (R-R') product of folic acid and 3-hydroxypropionic acid(self), with the error of 0.0025. "
335.190391,0.04%,"decarboxylation C-N coupling product of tryptophan and serotonin(add H+), with the error of 0.0034. decarboxylation coupling (R-R') product of cystine and glutamine(add K+), with the error of 0.0046."
322.260204,0.01%,"decarboxylation C-N coupling product of tryptophan and spermidine(add H3O+), with the error of 0.0048. "
284.109613,0.01%,"decarboxylation C-N coupling product of tryptophan and taurine(add H+), with the error of 0.0026. decarboxylation coupling (RCOOR') product of methionine and n-acetyl cysteine(add NH4+); decarboxylation C-N coupling product of n-acetyl cysteine and methionine(add NH4+), with the error of 0.0004.reductive amination product of leucine and alpha-ketoglutaric acid(add Na+), with the error of 0.0024.adduct of inosine with CH3 radical(add H+), with the error of 0.0034.reductive amination product of dopamine and alpha-ketoglutaric acid(add H+); decarboxylation coupling (R-R') product of cystine and proline(add H3O+), with the error of 0.0044."
302.125454,0.04%,"decarboxylation C-N coupling product of tryptophan and taurine(add H3O+), with the error of 0.0035. decarboxylation C-N coupling product of serine and cytidine(self), with the error of 0.0025.adduct of inosine with CH3 radical(add H3O+), with the error of 0.0025.reductive amination product of dopamine and alpha-ketoglutaric acid(add H3O+), with the error of 0.0035.decarboxylation C-N coupling product of methionine and serotonin(add Na+), with the error of 0.0045."
339.157937,0.11%,"decarboxylation C-N coupling product of tryptophan and tyrosine(self); decarboxylation C-N coupling product of tyrosine and tryptophan(self); decarboxylation coupling (RCOOR') product of tryptophan and tyrosine(self), with the error of 0.0001. "
328.200277,0.01%,"decarboxylation C-N coupling product of tyrosine and arginine(add H3O+); decarboxylation coupling (RCOOR') product of arginine and tyrosine(add H3O+); decarboxylation C-N coupling product of arginine and tyrosine(add H3O+), with the error of 0.0027. "
257.099907,0.09%,"decarboxylation C-N coupling product of tyrosine and cysteine(add H+); decarboxylation coupling (RCOOR') product of cysteine and tyrosine(add H+); decarboxylation C-N coupling product of cysteine and tyrosine(add H+), with the error of 0.0039. decarboxylation C-N coupling product of malic acid and guanine(add NH4+), with the error of 0.0001.decarboxylation coupling (RCOOR') product of oxaloacetic acid and oxaloacetic acid(add K+), with the error of 0.0041."
376.104179,0.09%,"decarboxylation C-N coupling product of tyrosine and cystine(add H+); decarboxylation coupling (RCOOR') product of cystine and tyrosine(add H+); decarboxylation C-N coupling product of cystine and tyrosine(add H+), with the error of 0.0042. "
394.114255,0.02%,"decarboxylation C-N coupling product of tyrosine and cystine(add H3O+); decarboxylation coupling (RCOOR') product of cystine and tyrosine(add H3O+); decarboxylation C-N coupling product of cystine and tyrosine(add H3O+), with the error of 0.0007. "
396.187573,0.06%,"decarboxylation C-N coupling product of tyrosine and cytidine(add NH4+), with the error of 0.0014. decarboxylation C-N coupling product of glutathione and valine(add NH4+); decarboxylation coupling (RCOOR') product of glutathione and valine(add NH4+); decarboxylation C-N coupling product of valine and glutathione(add NH4+), with the error of 0.0044."
337.140251,0.03%,"decarboxylation C-N coupling product of tyrosine and galactosamine(add Na+); decarboxylation C-N coupling product of tyrosine and glucosamine(add Na+), with the error of 0.0033. decarboxylation C-N coupling product of 4-pentenoic acid and guanosine(self), with the error of 0.0023."
516.161054,0.01%,"decarboxylation C-N coupling product of tyrosine and gmp(add NH4+), with the error of 0.0001. "
437.179203,0.03%,"decarboxylation C-N coupling product of tyrosine and guanosine(add H3O+), with the error of 0.0038. "
300.199297,1.26%,"decarboxylation C-N coupling product of tyrosine and lysine(add H3O+); decarboxylation C-N coupling product of lysine and tyrosine(add H3O+); decarboxylation coupling (RCOOR') product of lysine and tyrosine(add H3O+), with the error of 0.0023. "
323.218865,0.01%,"decarboxylation C-N coupling product of tyrosine and methionine(add K+); decarboxylation C-N coupling product of methionine and tyrosine(add K+); decarboxylation coupling (RCOOR') product of methionine and tyrosine(add K+), with the error of 0.0019. decarboxylation coupling (RCOOR') product of glyoxylic acid and 3-hydroxypalmitic acid(add Na+), with the error of 0.0001."
283.077867,0.01%,"decarboxylation C-N coupling product of tyrosine and taurine(add Na+), with the error of 0.0049. adduct of cytidine with OH radical(add Na+); reductive amination product of cystine and acetone(add H+), with the error of 0.0011.decarboxylation C-N coupling product of phenylalanine and o-phosphorylethanolamine(add Na+), with the error of 0.0041."
278.122492,0.00%,"decarboxylation C-N coupling product of tyrosine and taurine(add NH4+), with the error of 0.0045. decarboxylation coupling (RCOOR') product of glutamine and histidine(add Na+); decarboxylation C-N coupling product of histidine and glutamine(add Na+); decarboxylation C-N coupling product of glutamine and histidine(add Na+), with the error of 0.0005.adduct of cytidine with OH radical(add NH4+), with the error of 0.0015.decarboxylation C-N coupling product of phenylalanine and o-phosphorylethanolamine(add NH4+), with the error of 0.0045."
423.173593,0.10%,"decarboxylation C-N coupling product of tyrosine and thiamine(add Na+), with the error of 0.0036. decarboxylation coupling (R-R') product of n-acetyl neuraminic acid and tyrosine(add Na+), with the error of 0.0004."
400.183171,0.15%,"decarboxylation C-N coupling product of tyrosine and thiamine(self), with the error of 0.0032. decarboxylation coupling (R-R') product of n-acetyl neuraminic acid and tyrosine(self), with the error of 0.0008.decarboxylation coupling (R-R') product of 6-hydroxyoctanoic acid and glutathione(add Na+), with the error of 0.0048."
209.13258,0.09%,"decarboxylation C-N coupling product of valine and 4-aminobenzoic acid(add H+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and 4-pentenoic acid(add NH4+); decarboxylation C-N coupling product of 4-aminobenzoic acid and valine(add H+); decarboxylation coupling (R-R') product of fumaric acid and phenylalanine(add NH4+); decarboxylation C-N coupling product of 4-pentenoic acid and 4-aminobenzoic acid(add NH4+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and valine(add H+), with the error of 0.0036. adduct of 6-hydroxyoctanoic acid with NO radical(add H3O+), with the error of 0.0016.reductive amination product of methionine and acetone(add NH4+), with the error of 0.0004.decarboxylation coupling (R-R') product of hydroxyproline and methionine(add H3O+); decarboxylation coupling (R-R') product of n-acetyl cysteine and valine(add H3O+), with the error of 0.0034."
207.137684,0.01%,"decarboxylation C-N coupling product of valine and adenine(add H+); decarboxylation coupling (RCOOR') product of leucine and malonic acid(add NH4+); decarboxylation C-N coupling product of 4-pentenoic acid and adenine(add NH4+); reductive amination product of valine and pyruvic acid(add NH4+); decarboxylation C-N coupling product of malonic acid and leucine(add NH4+), with the error of 0.0027. decarboxylation coupling (R-R') product of asparagine and phenylalanine(self), with the error of 0.0017.decarboxylation C-N coupling product of proline and threonine(add H3O+); decarboxylation coupling (RCOOR') product of proline and threonine(add H3O+), with the error of 0.0003.decarboxylation coupling (RCOOR') product of lysine and pyruvic acid(add H3O+); decarboxylation coupling (R-R') product of ornithine and alpha-ketoglutaric acid(add H3O+); decarboxylation C-N coupling product of alpha-ketobutyric acid and ornithine(add H3O+); decarboxylation coupling (RCOOR') product of ornithine and alpha-ketobutyric acid(add H3O+); decarboxylation C-N coupling product of pyruvic acid and lysine(add H3O+); decarboxylation coupling (R-R') product of lysine and oxaloacetic acid(add H3O+); reductive amination product of glutamine and acetone(add H3O+), with the error of 0.0013."
245.180819,0.00%,"decarboxylation C-N coupling product of valine and arginine(self); decarboxylation coupling (RCOOR') product of arginine and valine(self); decarboxylation C-N coupling product of arginine and valine(self), with the error of 0.0042. "
332.195479,0.01%,"decarboxylation C-N coupling product of valine and cytidine(add NH4+), with the error of 0.0015. decarboxylation C-N coupling product of arginine and tryptophan(self); decarboxylation coupling (RCOOR') product of arginine and tryptophan(self); decarboxylation C-N coupling product of tryptophan and arginine(self), with the error of 0.0005."
314.162471,0.19%,"decarboxylation C-N coupling product of valine and cytidine(self), with the error of 0.0035. decarboxylation coupling (RCOOR') product of histidine and tryptophan(add H+); decarboxylation C-N coupling product of tryptophan and histidine(add H+); decarboxylation C-N coupling product of histidine and tryptophan(add H+), with the error of 0.0015.adduct of thiamine with CH3O radical(add NH4+), with the error of 0.0035."
225.163775,0.04%,"decarboxylation C-N coupling product of valine and dopamine(add H+); decarboxylation C-N coupling product of 4-pentenoic acid and dopamine(add NH4+), with the error of 0.0038. reductive amination product of phenylalanine and acetone(add NH4+), with the error of 0.0028.decarboxylation coupling (R-R') product of hydroxyproline and phenylalanine(add H3O+); decarboxylation coupling (R-R') product of proline and tyrosine(add H3O+), with the error of 0.0002."
452.167266,0.02%,"decarboxylation C-N coupling product of valine and gmp(add NH4+), with the error of 0.0013. decarboxylation C-N coupling product of ornithine and amp(add H3O+), with the error of 0.0027."
354.169025,0.03%,"decarboxylation C-N coupling product of valine and guanosine(self), with the error of 0.004. "
253.159269,0.21%,"decarboxylation C-N coupling product of valine and tyrosine(add H+); decarboxylation C-N coupling product of 4-pentenoic acid and tyrosine(add NH4+); decarboxylation C-N coupling product of tyrosine and valine(add H+); decarboxylation coupling (RCOOR') product of tyrosine and valine(add H+); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and tyrosine(add NH4+), with the error of 0.0043. decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and cysteine(add NH4+); decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and cysteine(add NH4+); decarboxylation C-N coupling product of proline and phenylalanine(add H3O+); decarboxylation coupling (RCOOR') product of phenylalanine and proline(add H3O+), with the error of 0.0003.decarboxylation coupling (RCOOR') product of leucine and methionine(add H3O+); decarboxylation C-N coupling product of leucine and methionine(add H3O+); decarboxylation C-N coupling product of methionine and leucine(add H3O+), with the error of 0.0037."
393.262124,0.04%,"decarboxylation coupling (RCOOR') product of 12-hydroxystearic acid and fumaric acid(add Na+), with the error of 0.0011. decarboxylation coupling (RCOOR') product of elaidic acid and malic acid(add Na+); decarboxylation coupling (RCOOR') product of malic acid and oleic acid(add Na+), with the error of 0.0001.decarboxylation C-N coupling product of valine and guanosine(add K+), with the error of 0.0009."
373.316161,0.01%,"decarboxylation coupling (RCOOR') product of 12-hydroxystearic acid and threonine(self); decarboxylation C-N coupling product of 12-hydroxystearic acid and threonine(self), with the error of 0.0018. "
379.24719,0.16%,"decarboxylation coupling (RCOOR') product of 3-hydroxypalmitic acid and itaconic acid(add Na+), with the error of 0.0012. "
448.35185,0.01%,"decarboxylation coupling (RCOOR') product of 3-hydroxypalmitic acid and tryptophan(add NH4+); decarboxylation C-N coupling product of 3-hydroxypalmitic acid and tryptophan(add NH4+), with the error of 0.0021. "
167.070949,0.07%,"decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and 4-pentenoic acid(add Na+); decarboxylation coupling (R-R') product of 4-pentenoic acid and malic acid(add Na+), with the error of 0.0029. decarboxylation C-N coupling product of alpha-ketobutyric acid and cytosine(self), with the error of 0.0019.decarboxylation C-N coupling product of malic acid and urea(add H3O+), with the error of 0.0001.adduct of leucine with Cl radical(add H+), with the error of 0.0011."
144.08137,0.10%,"decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and 4-pentenoic acid(self); decarboxylation coupling (R-R') product of 4-pentenoic acid and malic acid(self), with the error of 0.0034. decarboxylation product of phenylalanine(add Na+), with the error of 0.0024."
374.099616,0.01%,"decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and glutathione(add Na+); decarboxylation coupling (R-R') product of glutathione and malic acid(add Na+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and glutathione(add Na+), with the error of 0.0004. decarboxylation C-N coupling product of oxaloacetic acid and thiamine(add Na+), with the error of 0.0024."
149.046651,0.50%,"decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and malonic acid(add H+); decarboxylation coupling (R-R') product of malic acid and malonic acid(add H+), with the error of 0.0017. alpha-ketoglutaric acid reductive hydrogenation product(add H+); itaconic acid add H2O(add H+); adduct of malic acid with CH3 radical(self), with the error of 0.0007.decarboxylation coupling (R-R') product of oxaloacetic acid and pyruvic acid(add H3O+); decarboxylation coupling (RCOOR') product of pyruvic acid and pyruvic acid(add H3O+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and glyoxylic acid(add H3O+); decarboxylation coupling (R-R') product of fumaric acid and malonic acid(add H3O+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and glyoxylic acid(add H3O+), with the error of 0.0023.itaconic acid(add H3O+), with the error of 0.0033.methionine(self), with the error of 0.0043."
149.042369,0.05%,"decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and malonic acid(add H+); decarboxylation coupling (R-R') product of malic acid and malonic acid(add H+), with the error of 0.0026. alpha-ketoglutaric acid reductive hydrogenation product(add H+); itaconic acid add H2O(add H+); adduct of malic acid with CH3 radical(self), with the error of 0.0036."
149.040034,0.01%,"decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and malonic acid(add H+); decarboxylation coupling (R-R') product of malic acid and malonic acid(add H+), with the error of 0.005. "
354.141938,0.03%,"decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and n-acetyl neuraminic acid(add H+); decarboxylation coupling (R-R') product of malic acid and n-acetyl neuraminic acid(add H+); decarboxylation C-N coupling product of fumaric acid and thiamine(add H3O+), with the error of 0.0019. decarboxylation coupling (R-R') product of fumaric acid and n-acetyl neuraminic acid(add H3O+), with the error of 0.0021.decarboxylation coupling (RCOOR') product of glycine and glutathione(add NH4+); decarboxylation C-N coupling product of glutathione and glycine(add NH4+); decarboxylation C-N coupling product of glycine and glutathione(add NH4+), with the error of 0.0031."
